seq,campaign,stage,title,enemy_summary,enemy_total,scene_files,scene_exists_count,scene_missing_count,missing_scene_files,total_command_count,total_string_count,actor_candidates,dialogue_preview
51,4,13,吕布遭擒,投石车*220/重骑兵*1000/重骑兵*1000/重步兵*760/铁骑兵*800,3780,4-13-1.sc/4-13-3.sc,2,0,,42,18,臧霸 / 宋宪 / 曹操 / 吕布 / 刘备,宋  宪：西门已被攻破，吕将军这时居然还在花天酒地。 | 臧  霸：唉！不如我们投降吧。 | 宋  宪：我有个主意，咱去把他的赤兔马和方天画戟偷走，投降之后必定有赏。 | 臧  霸：好！就这么办！ | 灭呀！活捉吕布！ || 曹  操：吕布，今日被擒，有什么话可说啊？ | 吕  布：哼！若不是出了叛徒，你们岂是我的对手！ | 曹  操：你若能善待手下，又何来的叛徒？ | 吕  布：…… | 吕  布：听闻丞相一向爱才，吕布愿追随左右，助丞相平定天下。
52,,,援军消灭战,铁骑兵*1600/重骑兵*1400/重步兵*2900/强弩兵*2100/重弩车*400/投石车*300,8700,,0,0,,0,0,,
53,5,1,初会孙策,重步兵*1200/重骑兵*750/强弩兵*800/强弩车*450,3200,5-1-1.sc/5-1-2.sc/5-1-3.sc,3,0,,71,27,献帝 / 曹操 / 荀彧 / 斥候 / 雷薄 / 孙策,献  帝：袁术越来越不安分了，几位可有对策？ | 曹  操：单靠朝廷的力量，想消灭袁术可能会两败俱伤。 | 如果能分化袁术的力量，再依靠诸侯联手，就容易的多。 | 荀  彧：我有一计，袁术手下有一员虎将——孙策！ | 曹  操：孙策？其父可是原江东霸主——孙坚？ || 斥  候：报！孙策的先锋大将雷薄已进入我军伏击圈。 | 很好，即刻发起攻击。 || 孙  策：雷将军先退，让我孙策来会会敌人。 | 孙将军果然勇武。 | 孙  策：废话少说，再来战过！ | 将军一身本事，为何委身袁术？ | 孙  策：哼！想招揽我，你还不够资格。
54,5,2,孙策举兵,重步兵*1200/重步兵*1200/重骑兵*900/强弩兵*800/强弩兵*800,4900,5-2-1.sc/5-2-3.sc,2,0,,31,17,黄盖 / 程普 / 孙策 / 斥候,孙  策：让将军久等了。 | 将军现在万事具备，欲先取何处？ | 孙  策：曲阿县原是我母舅之地，家母也在曲阿境内，当先取此地。 | 程  普：曲阿乃富庶之地，粮草充足，怕是不易攻取。 | 听闻刘繇将粮草囤积于通许县，我有一提议。 || 斥候：报——！孙将军在岭南设伏，现与刘繇援军陷入苦战，局势不明。 | 嗯？以孙将军之勇武，居然不能速胜？ | 斥候：援军中有一员虎将，名叫太史慈，异常勇猛。 | （名震北海的太史慈居然在此！） | 传令下去，整顿兵马，助孙将军破敌。
55,5,3,酣战太史慈,重骑兵*1200/重骑兵*1200/铁骑兵*750/强弩兵*900/强弩车/450,4050,5-3-1.sc/5-3-3.sc,2,0,,32,12,朱治 / 孙策 / 程普,朱  治：将军来得正及时啊，我正想向将军请援。 | 我已知道了，特前来助战。 | 朱  治：将军不要轻敌，敌军有一将名太史慈，勇猛无比，我家主公与他苦战不下。 | 情况紧急，我先去援助孙将军。 || 程  普：主公！你受伤了！ | 孙将军遭暗箭所伤，快送回军营里医治。 | 孙  策：我无大碍，只是我见太史慈如此勇猛，心甚爱之，不忍力战。 | （孙策居然如此爱惜人才。） | 孙将军先回帐中疗伤，我已有计擒拿太史慈。
56,5,4,攻克曲阿,重步兵*2000/近卫兵*1000/强弩兵*1000/强弩兵*1000/强弩车*480,5480,5-4-1.sc/5-4-2.sc/5-4-3.sc,3,0,,65,32,孙策 / 太史慈,孙  策：我欲收太史慈，将军有何良策？ | 此计不仅可擒拿太史慈，曲阿也可一举拿下。 | 孙  策：是何计策？望将军赐教！ | 放出流言说将军已中箭身亡，并令全军撤离，敌军得知，必遣大军前来追击。。 | 此时城中空虚，我则伪装为刘繇军，趁机灭入城中，占领曲阿。将军则沿途设伏，灭退来军。 || 时候差不多了，我们出发！ | 来者何人？ | 主公怕敌军偷袭，特命我等回城固守。 | 放下吊桥。 | 将士们，冲进城去！ || 太史慈！你已经无处可逃了！ | 孙  策：我甚爱将军之勇，望能加入我军。 | 太史慈：大丈夫死则死矣，岂能投降！ | 大丈夫在世，当立不世之功，太史将军就甘心如此死去？ | 太史慈：……
57,5,5,分兵战吴城,重步兵*1400/重步兵*1400/近卫兵*1200/重骑兵*750/强弩兵*1000,5750,5-5-1.sc/5-5-3.sc,2,0,,32,18,孙策 / 程普 / 黄盖 / 斥候 / 太史慈 / 周瑜,报！太史慈将军传信，严白虎已率大军出城。 | 子义之计果然成功了。 | 孙  策：那就请将军按计划迎击严白虎，我自领兵去夺吴城。 | 好，某先行一步了！ || 孙  策：哈哈哈！子义不欺我，吴城已然夺下了。 | 恭喜孙将军！现已有两城根基，可趁势攻取江东重镇——会稽。 | 孙  策：会稽太守王朗手有重兵，怕是难以攻下。 | 周  瑜：伯符勿忧，我有妙计可取会稽。 | 孙  策：公瑾——！
58,5,6,奇袭会稽,重步兵*1600/重骑兵*1200/重骑兵*1200/铁骑兵*750/强弩兵*1000,5750,5-6-1.sc/5-6-2.sc/5-6-3.sc,3,0,,49,20,孙策 / 周瑜 / 周昕 / 将领,孙  策：会稽今有重兵，公谨有何妙计？ | 周  瑜：我已探知会稽虽有重兵，但查渎却防守空虚，而查渎乃会稽屯粮之地。 | 公谨可是想先取查渎？ | 周  瑜：不，我军只是假意攻取查渎，以诱援军，由将军率本部截灭援军，并放跑部分败军。 | 周  瑜：再由伯符率部乔装，混入溃败的敌军，混进城中，内外夹击，一举破城。 || 周  昕：孙策正在攻打查渎，大家加快速度，一定要救下查渎。 | 士  兵：是！ | 周  昕：不好，有埋伏！ || 恭喜孙将军，江东已悉数平定，可勿忘先前之约啊。 | 孙  策：将军如此助我，我必履行诺言！ | 目前出兵袁术的时机还未到。 | 待时机到时，我发书信与将军，将军可依长江之利攻打庐江；我与曹丞相分别攻打合肥与寿春，三面夹击下，袁术必败。 | 孙  策：好！静待将军起兵！
59,5,7,袁术称帝,重骑兵*1500/重骑兵*1500/铁骑兵*750/强弩兵*600/强弩车*450,4800,5-7-1.sc/5-7-2.sc/5-7-3.sc,3,0,,40,11,步兵 / 斥候,步  兵：前方来报，曹丞相已领兵攻打寿春，孙策将军也已起兵进攻庐江。 | 好，那就按计划进攻合肥，即刻起兵。 || （曹操和孙策都起兵了，只要攻下合肥和庐江，袁术的寿春就只剩一座孤城了。） | 斥  候：报！前方发现袁术军马！ | 准备迎敌！ || 将军，这股敌人来的甚是蹊跷。 | 如此伎俩，我岂能不知。敌人必是想在此拖延我军，等我们扎营后，他们趁夜劫营。 | 哼！正好可以将计就计，传令扎营，夜里每人都换上袁术军的军服，让他们劫空营，我们去偷袭合肥！ | 是！
60,5,8,进攻合肥,重步兵*2000/重步兵*2000/近卫兵*1000/强弩兵*1000/强弩兵/1000,6000,5-8-1.sc/5-8-3.sc,2,0,,38,18,守军 / 斥候,都换好军服了吗？ | 都换好了！ | 好！出发！ | 守  军：来者是何人？ | 陛下得知有贼人前来攻击合肥，命我等前来援助。 || 孙将军那边情况如何？ | 斥  候：孙将军已经攻下庐江！ | 曹丞相那边呢？ | 斥  候：曹丞相已将寿春层层包围，只等将军会合后共同攻城。 | （曹操果然多谋，寿春四面遭围，城内必然人心惶惶，我就来应和他。）
61,5,9,攻打寿春,重步兵*1600/近卫兵*1200/强弩兵*1600/强弩兵*1600/弩车*600/弩车*600,7200,5-9-1.sc/5-9-3.sc,2,0,,40,11,曹操 / 孙策,曹  操：袁术现已如瓮中之鳖，曹某可就等两位了。 | 听闻丞相围城已久，想必袁军已无士气。 | 曹  操：正是，现只恐袁军背水一战，于我军不利。 | 孙  策：可否诱袁术弃城而逃，我们再围而歼之。 | 好主意，我们可假意各自强攻一门，只留下东门。 || 斥  候：报！袁术从东门突围而去！ | 果然不出我所料！全军追击！
62,5,10,袁术逃亡,铁骑兵*1500/重骑兵*900/重步兵*2000/强弩兵*1200/强弩兵*1200,6800,5-10-1.sc/5-10-3.sc,2,0,,55,18,曹操 / 徐晃 / 曹仁 / 袁术 / 陈兰 / 阎象 / 斥候,陈  兰：主公先走，我来挡住他们！ | 哈哈！袁术，我可是恭候多时了！ | 袁  术：可恶小子！给我灭过去！ | 迎战！ || 袁术，你逃不掉了！ | 曹  操：袁术，束手就擒吧。 | 斥  候：报！北面来了一队军马，似乎是袁绍的军队！ | 袁  术：哈哈哈！我就知道本初必然不会置兄弟之情于不顾！我有救啦！ | 快！先抓住袁术！
63,,,仲氏覆灭,近卫兵*1600/重步兵*4200/铁骑兵*2400/强弩兵*3000,11200,,0,0,,0,0,,
64,6,1,公孙瓒借兵,重步兵*2000/重步兵*2000/骁骑兵*900/强弩兵*1200/强弩兵*1200,7300,6-1-1.sc/6-1-3.sc,2,0,,54,15,信使 / 张南 / 斥候,信  使：将军，我家主公公孙将军有书信一封。 | 将军亲启，我驻守幽州十余年，<br/>忠心汉室，保大汉边境不受夷狄入侵。<br/>然袁绍取韩馥冀州后，竟意图再夺我并、幽两州，<br/>其颠覆汉室的野心昭然若揭。我欲伸义于汉，<br/>奈何为贼所困，望将军援我灭贼。 | （听闻袁术已将玉玺转予袁绍，看来这袁家称帝之心不死不休！） | 袁绍素有不臣之心，我早已知之，你可速回报公孙将军，我即日起兵前往助之。 | 信  使：谢将军！ || （袁绍身边不乏能人啊，能够料算到我军行进的路线，看样子公孙瓒要吃苦头了。） | 斥  候：报！公孙瓒在界桥败兵被围！ | 不出我所料，我们快去救援！
65,6,2,大战界桥,重步兵*2000/重步兵*2000/铁骑兵*1500/铁骑兵*1500/弩骑兵*1000,8000,6-2-1.sc/6-2-3.sc,2,0,,56,12,公孙瓒 / 麴义 / 敌将,公孙将军！我来了！ | 公孙瓒：将军助我！ | 全军压上！ || 可先歇息，敌军已经追不上我们了。 | 公孙瓒：不料袁绍居然如此强，我轻敌了…… | 胜负乃兵家常事，不如我们且退平原，整顿兵马后再战。 | 公孙瓒：也只能如此了……
66,6,3,龙凑之战,近卫兵*2000/骁骑兵*1200/骁骑兵*1200/重弩车*1000/弩骑兵*2000,7400,6-3-1.sc/6-3-3.sc,2,0,,48,12,公孙瓒 / 将领,前方便是平原的龙凑县，我们可在此重整兵马。 | 糟了！有伏兵！ || 公孙瓒：此处乃青州地界，何来袁绍兵马？ | 公孙将军，恐怕袁绍早已袭取了青州，此地不宜久留。 | 公孙瓒：这…… | 袁绍势已成，为今之计只能暂撤回幽州了。 | 公孙瓒：可恶袁绍！迟早要你覆灭！
67,6,4,巨马水反击,重步兵*2000/近卫兵*1200/骁骑兵*1500/铁骑兵*2000/弩骑兵*1500,8200,6-4-1.sc/6-4-3.sc,2,0,,31,11,公孙瓒 / 将领 / 哨兵,公孙瓒：已经回到了幽州地界，我得立刻集结兵马！ | 哨兵：报！袁绍领兵来犯，已经兵临巨马水！ | 公孙瓒：来的如此之快！速速前去迎敌！ | 公孙将军！我有一计！将军可正面吸引袁绍注意，我从侧面绕路袭其后方，则敌军可破。 | 公孙瓒：此计可行！就依将军！ || 袁绍败退了，可趁此机会追击！ | 公孙瓒：追！
68,6,5,许昌之变,近卫兵*1500/近卫兵*1500/骁骑兵*2000/弩骑兵*1200/弩骑兵*1200,7400,6-5-1.sc/6-5-3.sc,2,0,,48,20,袁绍 / 张郃 / 公孙瓒 / 将领 / 使者,袁  绍：张郃救我！ | 张  郃：主公先退！我来挡住他们！ | 看来有援军了，公孙将军你去追袁绍，不要让他跑了，我来对付援军！ | 公孙瓒：好！ || 公孙将军可有追到袁绍？ | 公孙瓒：让他给跑了！ | 使者：圣旨到！ | 奉天承运，皇帝诏曰<br/>袁绍与公孙瓒皆汉臣<br/>不可内斗而使夷狄有入侵之机<br/>现命双方各自镇守一方，不得相扰！ | 使者：丞相有言！如不从者，朝廷发兵拒之！
69,6,6,刘曹反目,重步兵*2500/重步兵*2500/骁骑兵*1500/强弩兵*1500/强弩车*500,8500,6-6-1.sc/6-6-2.sc/6-6-3.sc,3,0,,67,35,使者 / 曹操 / 刘备 / 郭嘉,使  者：将军，许昌有变，刘备突然反叛朝廷，丞相大为震怒，故此次派我前来知会将军速回许昌。 | 什么！刘备居然反叛？ | （刘备可是皇叔，平日也对皇上十分恭敬，如何会有反叛之心？） | 我这就回许昌，请天使与我同行。 | 丞相！刘备为何会反叛？据我所知，他一心忠于汉室啊。 || 曹  操：刘备目前在徐州，关羽和张飞分别驻守下邳和小沛，形成掎角之势。 | 关羽、张飞乃是当世猛将，我恐无法抵敌，但刘备我还能应付的来。 | 曹  操：那么刘备就交给将军了，我自引军拿下关羽和张飞。 | 此法可行。 || 反贼刘备！还不束手就擒！ | 刘  备：何谓我是反贼？ | 公然起兵，非反何为？ | 刘  备：…… | 大丈夫敢作敢当，为何哭泣做儿女态！？
70,6,7,袁绍下战书,重步兵*3000/铁骑兵*2000/骁骑兵*1500/弩骑兵*1500/强弩车*600,8600,6-7-1.sc/6-7-3.sc,2,0,,29,12,曹操 / 郭嘉 / 哨兵,曹  操：袁绍统一了河北，现在给我下战书了…… | 听闻袁绍欲攻许昌？ | 曹  操：这是他下的战书，你看看吧。 | 哨  兵：报！袁绍军先锋颜良已在白马驻扎，从将高览率军来攻，现已到达酸枣！ | 曹  操：什么！这么快！ || 许昌的危险暂时是化解了，但是还不知道白马那的战况如何，我们得尽快赶过去了！ | 骑  兵：是！
71,6,8,白马之战,重步兵*2500/铁骑兵*2500/近卫兵*1500/强弩兵*1200/强弩兵*1200,8900,6-8-1.sc/6-8-3.sc,2,0,,41,11,曹操 / 吕威璜 / 颜良,此处战况如何？ | 曹  操：敌军正与我军对峙。 | 吕威璜：谁敢来战！？ | 曹  操：居然如此嚣张！ | 我去战他！ || 颜  良：敢与我战否！？ | （好大的蛮力！不可力敌啊！暂且先撤！） | 颜  良：全军突击！
72,6,9,关羽战颜良,骁骑兵*1500/铁骑兵*2000/铁骑兵*2000/近卫兵*1500/弩骑兵*1500,8500,6-9-1.sc/6-9-3.sc,2,0,,33,17,曹操 / 程昱 / 关羽 / 颜良,曹  操：颜良果然是猛将，我们该如何破他？ | 程  昱：我想，或许关羽可斩颜良。 | 曹  操：云长？ | 程  昱：是也，关羽曾斩华雄，力敌吕布，必能将颜良斩首。 | 曹  操：如此甚好！快请云长前来！ || 关  羽：想跑？看谁的马快！ | 颜良：啊！！！
73,6,10,逐兵白马,重步兵*3000/近卫兵*1000/铁骑兵*2000/强弩兵*1500/重弩车*1000,8500,6-10-1.sc/6-10-3.sc,2,0,,33,12,关羽 / 颜良 / 袁绍 / 文丑 / 哨兵,步  兵：颜将军被灭了，快跑啊！ | 颜良已死！全军出击！ || 哨  兵：报！我军兵败，颜将军已阵亡！ | 袁  绍：什么！！！颜良阵亡！？ | 文  丑：主公！颜良与我如同手足！容我前去报仇！ | 袁  绍：可恶曹瞒！竟然斩我大将！文丑听令！命你领十万大军前去复仇！ | 文  丑：是！
74,6,11,延津之战,重步兵*2000/近卫兵*2500/铁骑兵*1500/铁骑兵*1500/弩骑兵*1500,9000,6-11-1.sc/6-11-3.sc,2,0,,27,14,曹操 / 哨兵 / 文丑,曹  操：颜良被斩，袁绍必不善罢甘休。 | 哨  兵：报！袁绍军大将文丑领兵十万进攻延津！ | 曹  操：果不其然，将军可否代为御敌？ | 丞相何不亲往？ | 曹  操：我恐袁绍再袭他处，我们就疲于奔命了。况且我军军粮已难为继…… || 敌军如此势大！刚消灭完一波，文丑又至矣！ | 文  丑：看我取你性命！ | 列阵！迎敌！
75,,,败文丑,重步兵*3000/骁骑兵*4500/铁骑兵*3600/弩骑兵*4000/重弩车*2000,17100,,0,0,,0,0,,
76,7,1,袁绍兴兵,近卫兵*1500/近卫兵*1500/骁骑兵*1000/强弩兵*2000/铁骑兵*2000,8000,7-1-1.sc/7-1-3.sc,2,0,,28,13,曹操 / 哨兵,哨  兵：报！袁绍率七十万大军，直奔官渡！ | 曹  操：我军粮草稍少，若不速战，待军粮耗尽，必败于袁绍之手。不如趁其远来疲弊，先击之。 | 曹  操：传我令！三军集结，迎击袁绍！ | 哨  兵：报！曹丞相迎击袁绍陷入围困中！ | 什么？马上集结军队！前去营救！ || 曹  操：我轻敌矣！此战败绩，我军士气不振，不如回城固守。 | 此战虽败，然我料袁绍必喜悦冲头，轻视丞相，可趁此定计攻之。 | 曹  操：有何计可败之？ | 此处不便，丞相且回营听我细说。
77,7,2,奇袭袁绍,重步兵*2500/重步兵*2500/弩骑兵*1500/重弩车*800/铁骑兵*1500,8800,7-2-1.sc/7-2-3.sc,2,0,,17,9,曹操,曹  操：将军有何计可败袁绍？ | 袁绍欺丞相败，必举兵来攻寨，丞相可全力防守。 | 我则趁机袭其后方，彼军必乱，丞相可趁势攻之，其必败也。 | 曹  操：此计可行！就依你。 || 曹  操：袁军此战一败，必有所防备，再战难胜。 | 袁绍此次败军，短期不会再贸然进攻，且手下互不相容，可待其变再攻。 | 曹  操：将军之言是也，且回营暂作休整。
78,7,3,劫兵粮,重步兵*2500/骁骑兵*2000/铁骑兵*1500/铁骑兵*1500/铁骑兵*1500,9000,7-3-1.sc/7-3-3.sc,2,0,,22,14,曹操 / 哨兵,曹  操：近日我军粮草消耗甚大，我有意暂退回许都。 | 我认为不可，退军则士气低落，我们都会陷入被动。 | 步  兵：细作来报！袁军韩猛将于今夜押运粮草至袁绍军前接济！ | 丞相，韩猛今夜押运粮草，何不趁此机会前去劫粮？ | 曹  操：我正有此意，不知将军可愿亲往？ || 曹  操：彼军粮草为我所劫，可暂时缓解军中缺粮的困境。 | 军以粮为先，丞相可修书一封往许都催粮。 | 曹  操：也好，我作书催荀彧速送粮草。
79,7,4,许攸献计,近卫兵*2000/骁骑兵*1600/铁骑兵*1800/弩骑兵*1600/重弩车*1000,8000,7-4-1.sc/7-4-3.sc,2,0,,43,19,许攸 / 袁绍 / 曹操 / 哨兵,步  兵：报！我军截获曹操军往许昌密信一封。 | 许  攸：原来彼军缺粮，可速报主公。 | 许  攸：主公！曹操军缺粮，我军可兵分两路，一面进攻官渡，一面袭许昌，则曹操必为所擒。 | 袁  绍：哼！审配密告你侄在冀州受贿，我想你必定也受了曹操的贿赂，想诱我出军！ | 袁  绍：雕虫小技岂能骗的过我！念在你随我多年的份上，就饶了你的狗命，给我滚出去！以后不必再来见我！ || 步  兵：将军，守军已尽皆击败，但袁绍派袁军前来支援。 | 我自有抵挡之策，可先纵火烧乌巢粮！
80,7,5,火烧乌巢,近卫兵*2000/铁骑兵*2500/铁骑兵*2500/强弩兵*1000/弩骑兵*800,8800,7-5-1.sc/7-5-3.sc,2,0,,30,10,曹操,三军听令！敌人援军正赶来，我们前去半路突袭之。 | 骑  兵：是！ || 曹  操：将军辛苦，袁绍劫营军已被我击败，袁绍若知道乌巢被烧，军心必然大乱。 | 曹  操：此时乃进攻袁绍的最佳时机，请将军即刻出兵，前去攻打。 | 丞相不去吗？ | 曹  操：将军为先驱，我可在其退军路上设伏。 | （曹操是拿我军当炮灰？）
81,7,6,反守为攻,重步兵*2500/近卫兵*1500/骁骑兵*1000/铁骑兵*1500/强弩兵*2500,9000,7-6-1.sc/7-6-3.sc,2,0,,30,11,曹操,曹操居然让我军去当炮灰！ | 骑  兵：将军息怒，丞相之命不可违啊…… | 既然如此，传我令，我军换上袁绍军服，混入其营寨中，举火为号，然后脱掉伪装，攻击袁军！ | 骑  兵：是！ | 我们出发！ || 曹  操：袁绍已败走，此役将军功劳甚大，我必将上奏朝廷。 | 下一步丞相有何打算？ | 曹  操：目前我军粮草不继，需待军粮到后再攻袁绍。 | 袁氏盘踞河北，根深蒂固，若待其回到河北，不需多久便可回复气力，到时极难取胜矣。 | 曹  操：将军所言极是，可我军粮不到，实属无奈。
82,7,7,大战仓亭,近卫兵*1500/骁骑兵*2000/骁骑兵*2000/铁骑兵*1500/弩骑兵*1500,8500,7-7-1.sc/7-7-3.sc,2,0,,45,15,蒋义渠 / 袁绍 / 哨兵 / 曹操,曹操居然要等军粮到了才攻冀州！只怕到时袁绍气力已得到了恢复！ | 骑  兵：将军何须等待丞相？以我军之力便可拿下冀州。 | 正是！他虽是丞相，但我不受制于他，他不攻，我攻！ | 袁  绍：追军将至矣。 | 蒋义渠：主公莫慌，我前去阻击之。 || 曹  操：将军出兵如此迅速？ | 袁绍已死于我军马蹄之下。 | 曹  操：将军立大功矣！我当在陛下面前表将军为大将军。 | 袁绍已死，现可逐一收复冀、幽、并、青四州。 | 曹  操：可先往冀州城进发。
83,7,8,诈败施计,重步兵*2000/弩骑兵*1000/铁骑兵*2000/铁骑兵*2000/强弩兵*1500,8500,7-8-1.sc/7-8-3.sc,2,0,,40,13,曹操 / 哨兵 / 袁谭,哨  兵：报！袁谭先锋大将吕旷领兵来攻！冀州袁尚也从北面而来！ | 曹  操：袁谭？袁尚？糟了！袁绍死，其子必齐力报仇，我军将有苦战矣！ | 袁绍各子皆欲夺权，他们此来必然是来试探我们实力，并非来力战。 | 曹  操：噢？那将军意思是？ | 目前而言，袁谭实力最强。此番可与吕旷交战，削其部分战力，使其与袁尚实力相近，后与袁谭交战，诈败而走。 || 袁  谭：让我看看你的实力！ | 好强！撤！ | 袁  谭：哼！也不过如此，待我继承父权后，必要反攻中原！
84,7,9,攻占冀州,重步兵*2500/骁骑兵*1500/铁骑兵*2000/弩骑兵*1000/强弩兵*2000,9000,7-9-1.sc/7-9-3.sc,2,0,,24,10,曹操 / 郭嘉 / 哨兵 / 袁谭,哨  兵：报！袁谭与袁尚在冀州城外扎营交战！ | 郭  嘉：主公！此时正是进攻冀州的最佳时机啊！ | 他们虽然交战，但如果面对同样的敌人，必然临时合力，我们难胜。 | 曹  操：不如我们分别攻打一个目标，我攻袁尚，将军攻袁谭，他们两面无法相救，必败。 | 我正有此意。 || 袁谭跑了！快给我追！
85,7,10,进军南皮,重步兵*2000/重步兵*2000/骁骑兵*1500/骁骑兵*1500/弩骑兵*2000/重弩车*1000,10000,7-10-1.sc/7-10-3.sc,2,0,,26,12,袁谭 / 高干 / 哨兵,袁  谭：可恶曹贼！居然趁人之危！高干！立即点兵，随我前去收复冀州！ | 高  干：是！ | 哨  兵：报！追军至矣！ | 袁  谭：快！迎敌！ || 哨  兵：报！袁尚和袁熙走投乌桓，丞相率兵追袭，但追失而返！ | 什么！！！ | 袁家难道想让外夷入侵中原！？快！去寻一位能识得路的人，我们得快去阻止袁氏愚蠢的行动！ | 哨  兵：是！
86,,,远征乌桓,重步兵*2000/近卫兵*3000/骁骑兵*6000/铁骑兵*4000/弩骑兵*3000/重弩车*1600,19600,,0,0,,0,0,,
87,8,1,关羽归刘,近卫兵*2000/近卫兵*2000/骁骑兵*2800/铁骑兵*1500/弩骑兵*1500,9800,8-1-1.sc/8-1-2.sc/8-1-3.sc,0,3,8-1-1.sc/8-1-2.sc/8-1-3.sc,0,0,,
88,8,2,山越作乱,重步兵*2200/重步兵*2200/近卫兵*2000/近卫兵*2000/强弩兵*1800,10200,8-2-1.sc/8-2-2.sc/8-2-3.sc,0,3,8-2-1.sc/8-2-2.sc/8-2-3.sc,0,0,,
89,8,3,涂县遭围,重步兵*2000/重步兵*2000/近卫兵*3000/骁骑兵*2500/骁骑兵*2500/强弩兵*2000/强弩车*1200,15200,8-3-1.sc/8-3-3.sc,0,2,8-3-1.sc/8-3-3.sc,0,0,,
90,8,4,进攻阴陵,近卫兵*1500/骁骑兵*2400/骁骑兵*2400/铁骑兵*2000/弩骑兵*1800,10100,8-4-1.sc/8-4-3.sc,0,2,8-4-1.sc/8-4-3.sc,0,0,,
91,8,5,降服山越,重步兵*2000/重步兵*2000/近卫兵*2000/弩骑兵*2000/强弩车*1500,9500,8-5-1.sc/8-5-3.sc,0,2,8-5-1.sc/8-5-3.sc,0,0,,
92,8,6,吴侯遇刺,重步兵*2500/近卫兵*2500/铁骑兵*2000/铁骑兵*2000/强弩兵*2000,11000,8-6-1.sc/8-6-2.sc/8-6-3.sc,0,3,8-6-1.sc/8-6-2.sc/8-6-3.sc,0,0,,
93,8,7,孙权追凶,重步兵*2500/重步兵*2500/近卫兵*2000/骁骑兵*2000/强弩兵*2200,11200,8-7-1.sc/8-7-3.sc,0,2,8-7-1.sc/8-7-3.sc,0,0,,
94,8,8,征伐黄祖,重步兵*3000/近卫兵*2000/近卫兵*2000/骁骑兵*3000/弩骑兵*2000,12000,8-8-1.sc/8-8-3.sc,0,2,8-8-1.sc/8-8-3.sc,0,0,,
95,8,9,九江兵变,重步兵*2800/重步兵*2800/铁骑兵*3000/强弩兵*2000/强弩车*1300,11900,8-9-1.sc/8-9-3.sc,0,2,8-9-1.sc/8-9-3.sc,0,0,,
96,8,10,惩戒贪官,重步兵*3000/重步兵*3000/近卫兵*2000/骁骑兵*2000/强弩兵*2500,12500,8-10-1.sc/8-10-3.sc,0,2,8-10-1.sc/8-10-3.sc,0,0,,
97,8,11,寿春之变,重步兵*2500/近卫兵*2500/骁骑兵*2500/弩骑兵*2000/强弩车*1500,11000,8-11-1.sc/8-11-3.sc,0,2,8-11-1.sc/8-11-3.sc,0,0,,
98,,,兴兵问罪,重步兵*1500/重步兵*1500/近卫兵*1500/近卫兵*1500/骁骑兵*3000/骁骑兵*2000/骁骑兵*2000/骁骑兵*2000/弩骑兵*2000/弩骑兵*2000/强弩车*1200/强弩车*1200,21400,,0,0,,0,0,,
99,,,押解遇袭,重步兵*2200/重步兵*2200/近卫兵*2500/骁骑兵*2500/弩骑兵*2000/重弩车*1500,12900,9-lb-1-1.sc/9-lb-1-2.sc/9-lb-1-3.sc,0,3,9-lb-1-1.sc/9-lb-1-2.sc/9-lb-1-3.sc,0,0,,
100,,,与曹反目,重步兵*2000/近卫兵*3000/骁骑兵*3000/强弩兵*1700/强弩兵*1700/重弩车*1600,13000,9-lb-2-1.sc/9-lb-2-3.sc,0,2,9-lb-2-1.sc/9-lb-2-3.sc,0,0,,
101,,,助刘战曹,重步兵*2500/重步兵*2500/骁骑兵*3000/强弩兵*2300/强弩兵*2300,12600,9-lb-3-1.sc/9-lb-3-2.sc/9-lb-3-3.sc,0,3,9-lb-3-1.sc/9-lb-3-2.sc/9-lb-3-3.sc,0,0,,
102,,,火烧博望,重步兵*2000/重步兵*2000/骁骑兵*3000/铁骑兵*2000/铁骑兵*2000/弩骑兵*1800,12800,9-lb-4-1.sc/9-lb-4-2.sc/9-lb-4-3.sc,0,3,9-lb-4-1.sc/9-lb-4-2.sc/9-lb-4-3.sc,0,0,,
103,,,力战许褚,骁骑兵*3000/铁骑兵*3000/铁骑兵*3000/弩骑兵*2000/弩骑兵*2000,13000,9-lb-5-1.sc/9-lb-5-3.sc,0,2,9-lb-5-1.sc/9-lb-5-3.sc,0,0,,
104,,,火烧新野,重步兵*2500/重步兵*2500/骁骑兵*3000/骁骑兵*3000/弩骑兵*2200,13200,9-lb-6-1.sc/9-lb-6-3.sc,0,2,9-lb-6-1.sc/9-lb-6-3.sc,0,0,,
105,,,大战长坂,重步兵*3000/近卫兵*2000/近卫兵*2000/铁骑兵*2000/铁骑兵*2000/弩骑兵*2400,13400,9-lb-7-1.sc/9-lb-7-3.sc,0,2,9-lb-7-1.sc/9-lb-7-3.sc,0,0,,
106,,,退兵夏口,重步兵*3000/重步兵*3000/骁骑兵*3000/弩骑兵*1600/重弩车*1500,12100,9-lb-8-1.sc/9-lb-8-3.sc,0,2,9-lb-8-1.sc/9-lb-8-3.sc,0,0,,
107,,,草船借箭,重步兵*2000/重步兵*2000/近卫兵*2000/近卫兵*2000/铁骑兵*1800/强弩兵*2000/强弩兵*2000,13800,9-lb-9-1.sc/9-lb-9-2.sc/9-lb-9-3.sc,0,3,9-lb-9-1.sc/9-lb-9-2.sc/9-lb-9-3.sc,0,0,,
