scene_file,version,declared_len,file_size,declared_count,physical_command_records,opcode_counts_json
7-2-1.sc,1,393,401,8,8,"{""0x01"": 1, ""0x06"": 4, ""0x08"": 1, ""0x09"": 2}"
7-2-3.sc,1,393,401,9,9,"{""0x01"": 1, ""0x06"": 3, ""0x08"": 1, ""0x09"": 2, ""0x0a"": 2}"
7-3-1.sc,1,769,777,15,15,"{""0x01"": 1, ""0x06"": 8, ""0x08"": 1, ""0x09"": 3, ""0x0a"": 2}"
7-3-3.sc,1,327,335,7,7,"{""0x01"": 1, ""0x06"": 3, ""0x08"": 1, ""0x09"": 2}"
7-4-1.sc,1,1758,1766,33,39,"{""0x01"": 7, ""0x05"": 1, ""0x06"": 13, ""0x08"": 1, ""0x09"": 5, ""0x0a"": 4, ""0x0b"": 2, ""0x0d"": 6}"
7-4-3.sc,1,313,321,10,10,"{""0x01"": 1, ""0x06"": 2, ""0x08"": 1, ""0x09"": 4, ""0x0a"": 2}"
7-5-1.sc,1,265,273,10,10,"{""0x01"": 1, ""0x06"": 2, ""0x08"": 1, ""0x09"": 3, ""0x0a"": 3}"
7-5-3.sc,1,796,804,20,20,"{""0x01"": 1, ""0x06"": 8, ""0x08"": 1, ""0x09"": 4, ""0x0a"": 6}"
7-6-1.sc,1,512,520,12,14,"{""0x01"": 3, ""0x06"": 5, ""0x08"": 1, ""0x09"": 3, ""0x0d"": 2}"
7-6-3.sc,1,747,755,18,19,"{""0x01"": 2, ""0x06"": 6, ""0x08"": 1, ""0x09"": 4, ""0x0a"": 5, ""0x0d"": 1}"
7-7-1.sc,1,903,911,29,31,"{""0x01"": 3, ""0x05"": 1, ""0x06"": 6, ""0x08"": 1, ""0x09"": 8, ""0x0a"": 7, ""0x0b"": 3, ""0x0d"": 2}"
7-7-3.sc,1,572,580,16,16,"{""0x01"": 1, ""0x06"": 5, ""0x08"": 1, ""0x09"": 4, ""0x0a"": 5}"
7-8-1.sc,1,1086,1094,20,20,"{""0x01"": 1, ""0x05"": 1, ""0x06"": 7, ""0x08"": 1, ""0x09"": 3, ""0x0a"": 7}"
7-8-3.sc,1,507,515,20,20,"{""0x01"": 1, ""0x06"": 3, ""0x08"": 1, ""0x09"": 4, ""0x0a"": 11}"
7-9-1.sc,1,632,640,13,13,"{""0x01"": 1, ""0x06"": 5, ""0x08"": 1, ""0x09"": 4, ""0x0a"": 2}"
7-9-3.sc,1,224,232,11,11,"{""0x01"": 1, ""0x06"": 1, ""0x08"": 1, ""0x09"": 4, ""0x0a"": 4}"
