opcode_hex,signed_opcode,handler,handler_code_off,branch_read_sequence,handler_direct_read_sequence,request_candidate_minus_0x7000,request_candidate_minus_0x8000
0x821f,-32225,LscriptPages/game/z;->I(Ljava/lang/String;)V,0x365910,,0000:readByte(Ljava/lang/String;)B || 0008:readByte(Ljava/lang/String;)B || 0010:readLong(Ljava/lang/String;)J || 0018:readLong(Ljava/lang/String;)J || 001e:readLong(Ljava/lang/String;)J || 0026:readLong(Ljava/lang/String;)J || 002e:readLong(Ljava/lang/String;)J || 0050:readByte(Ljava/lang/String;)B || 005e:readLong(Ljava/lang/String;)J || 0072:readShort(Ljava/lang/String;)S || 0088:readShort(Ljava/lang/String;)S || 00ca:readShort(Ljava/lang/String;)S || 00e0:readShort(Ljava/lang/String;)S,0x121f,0x021f
0x8220,-32224,LscriptPages/game/z;->E(Ljava/lang/String;)V,0x3656b0,,0000:readByte(Ljava/lang/String;)B,0x1220,0x0220
0x8222,-32222,LscriptPages/game/z;->L(Ljava/lang/String;)V,0x365ac4,,0000:readByte(Ljava/lang/String;)B || 0008:readByte(Ljava/lang/String;)B || 0010:readLong(Ljava/lang/String;)J || 0018:readInt(Ljava/lang/String;)I || 001e:readLong(Ljava/lang/String;)J || 0026:readLong(Ljava/lang/String;)J || 002e:readByte(Ljava/lang/String;)B || 0048:readByte(Ljava/lang/String;)B,0x1222,0x0222
0x8223,-32221,LscriptPages/game/z;->L0(Ljava/lang/String;)V,0x369b70,,0000:readByte(Ljava/lang/String;)B || 000c:readLong(Ljava/lang/String;)J || 0018:readLong(Ljava/lang/String;)J || 0024:readInt(Ljava/lang/String;)I,0x1223,0x0223
0x8224,-32220,LscriptPages/game/z;->Q(Ljava/lang/String;)V,0x365f0c,,0000:readByte(Ljava/lang/String;)B || 0008:readUTF(Ljava/lang/String;)Ljava/lang/String; || 0010:readLong(Ljava/lang/String;)J || 0018:readLong(Ljava/lang/String;)J || 00a2:readLong(Ljava/lang/String;)J || 00b2:readByte(Ljava/lang/String;)B || 00d0:readInt(Ljava/lang/String;)I || 00de:readInt(Ljava/lang/String;)I,0x1224 generalAddPoint@scriptPages/game/z->U0,0x0224
0x8225,-32219,LscriptPages/game/z;->K0(Ljava/lang/String;)V,0x369afc,,0000:readByte(Ljava/lang/String;)B || 0008:readUTF(Ljava/lang/String;)Ljava/lang/String; || 0010:readByte(Ljava/lang/String;)B,0x1225 reqGeneralPracticeCancel@scriptPages/game/z->U0,0x0225
0x8226,-32218,LscriptPages/game/z;->S(Ljava/lang/String;)V,0x366118,,0000:readByte(Ljava/lang/String;)B || 0008:readLong(Ljava/lang/String;)J || 0010:readShort(Ljava/lang/String;)S || 0016:readShort(Ljava/lang/String;)S || 001c:readShort(Ljava/lang/String;)S || 0024:readShort(Ljava/lang/String;)S || 00a6:readByte(Ljava/lang/String;)B || 00bc:readByte(Ljava/lang/String;)B || 00c8:readInt(Ljava/lang/String;)I,0x1226 generalWithSoldier@scriptPages/game/z->R,0x0226
0x8228,-32216,LscriptPages/game/z;->N(Ljava/lang/String;)V,0x365d38,,0000:readByte(Ljava/lang/String;)B,0x1228 (unnamed)@scriptPages/game/z->U0,0x0228
0x8229,-32215,LscriptPages/game/p;->M0(Ljava/lang/String;)V,0x30cad4,,0000:readByte(Ljava/lang/String;)B || 0008:readUTF(Ljava/lang/String;)Ljava/lang/String; || 001a:readByte(Ljava/lang/String;)B || 002c:readLong(Ljava/lang/String;)J || 0044:readByte(Ljava/lang/String;)B || 004c:readInt(Ljava/lang/String;)I || 0072:readLong(Ljava/lang/String;)J || 0082:readByte(Ljava/lang/String;)B || 0096:readByte(Ljava/lang/String;)B || 00a2:readInt(Ljava/lang/String;)I,0x1229 reqBathAddArmy@scriptPages/game/p->L0,0x0229
0x822a,-32214,LscriptPages/game/z;->P0(Ljava/lang/String;)V,0x369c94,,0000:readByte(Ljava/lang/String;)B || 000c:readByte(Ljava/lang/String;)B,0x122a reqGeneralUseItem@scriptPages/game/z->O0,0x022a
0x822b,-32213,LscriptPages/game/q;->Q1(Ljava/lang/String;)V,0x32a7cc,,0000:readByte(Ljava/lang/String;)B || 0008:readLong(Ljava/lang/String;)J || 0018:readByte(Ljava/lang/String;)B || 0030:readByte(Ljava/lang/String;)B || 003c:readInt(Ljava/lang/String;)I,0x122b generalWithSoldier@scriptPages/game/q->y1,0x022b
0x822c,-32212,LscriptPages/game/q;->j1(Ljava/lang/String;)V,0x328210,,0000:readLong(Ljava/lang/String;)J || 0006:readByte(Ljava/lang/String;)B,0x122c,0x022c
0x822d,-32211,LscriptPages/game/q;->R(Ljava/lang/String;)V,0x322710,,0000:readByte(Ljava/lang/String;)B || 0008:readLong(Ljava/lang/String;)J || 000e:readByte(Ljava/lang/String;)B || 001a:readByte(Ljava/lang/String;)B || 0034:readByte(Ljava/lang/String;)B || 0042:readLong(Ljava/lang/String;)J || 0056:readByte(Ljava/lang/String;)B,0x122d,0x022d
0x822f,-32209,LscriptPages/game/q;->Q(Ljava/lang/String;)V,0x32268c,,0000:readByte(Ljava/lang/String;)B || 0006:readLong(Ljava/lang/String;)J || 000c:readByte(Ljava/lang/String;)B || 001a:readByte(Ljava/lang/String;)B || 0028:readLong(Ljava/lang/String;)J || 0030:readByte(Ljava/lang/String;)B,0x122f di_驱逐@scriptPages/game/q->E1,0x022f
0x8230,-32208,LscriptPages/game/q;->e0(Ljava/lang/String;)V,0x3233f4,,0000:readByte(Ljava/lang/String;)B || 0008:readLong(Ljava/lang/String;)J || 000e:readLong(Ljava/lang/String;)J || 0014:readByte(Ljava/lang/String;)B,0x1230,0x0230
0x8231,-32207,LscriptPages/game/q;->l1(Ljava/lang/String;)V,0x32828c,,0000:readLong(Ljava/lang/String;)J || 0006:readShort(Ljava/lang/String;)S || 000e:readLong(Ljava/lang/String;)J || 001a:readLong(Ljava/lang/String;)J,0x1231 reqHurtSoldierCurePreInfo@scriptPages/game/q->k1,0x0231
0x8232,-32206,LscriptPages/game/q;->g0(Ljava/lang/String;)V,0x3234e4,,0000:readByte(Ljava/lang/String;)B,0x1232,0x0232
0x8233,-32205,LscriptPages/game/q;->o1(Ljava/lang/String;)V,0x3286dc,,0000:readByte(Ljava/lang/String;)B || 0008:readByte(Ljava/lang/String;)B || 0050:readLong(Ljava/lang/String;)J || 005c:readLong(Ljava/lang/String;)J || 00fe:readLong(Ljava/lang/String;)J || 010a:readLong(Ljava/lang/String;)J,0x1233 reqPrisonerCtrlInfo@scriptPages/game/q->n1,0x0233
0x8234,-32204,LscriptPages/game/q;->b1(Ljava/lang/String;)V,0x327d50,,0000:readByte(Ljava/lang/String;)B || 0008:readUTF(Ljava/lang/String;)Ljava/lang/String;,0x1234,0x0234
0x8236,-32202,LscriptPages/game/q;->c1(Ljava/lang/String;)V,0x327f0c,,0000:readByte(Ljava/lang/String;)B,0x1236,0x0236
0x8238,-32200,LscriptPages/game/q;->d1(Ljava/lang/String;)V,0x327f7c,,0000:readByte(Ljava/lang/String;)B || 0008:readBoolean(Ljava/lang/String;)Z,0x1238,0x0238
0x823b,-32197,LscriptPages/game/q;->a1(Ljava/lang/String;)V,0x327cb4,,0000:readByte(Ljava/lang/String;)B,0x123b,0x023b
0x823d,-32195,LscriptPages/game/q;->U1(Ljava/lang/String;)V,0x32a98c,,0000:readByte(Ljava/lang/String;)B || 0008:readLong(Ljava/lang/String;)J || 000e:readInt(Ljava/lang/String;)I || 002a:readLong(Ljava/lang/String;)J || 0036:readLong(Ljava/lang/String;)J,0x123d,0x023d
0x823f,-32193,LscriptPages/game/q;->Y1(Ljava/lang/String;)V,0x32ac24,,0000:readByte(Ljava/lang/String;)B || 0008:readUTF(Ljava/lang/String;)Ljava/lang/String;,0x123f,0x023f
0x8240,-32192,LscriptPages/game/q;->V1(Ljava/lang/String;)V,0x32aa64,,0000:readByte(Ljava/lang/String;)B || 0024:readLong(Ljava/lang/String;)J || 0044:readByte(Ljava/lang/String;)B || 005a:readByte(Ljava/lang/String;)B || 0066:readInt(Ljava/lang/String;)I,0x1240,0x0240
0x8242,-32190,LscriptPages/game/q;->T1(Ljava/lang/String;)V,0x32a8f0,,0000:readByte(Ljava/lang/String;)B || 0022:readLong(Ljava/lang/String;)J || 003c:readLong(Ljava/lang/String;)J || 0048:readLong(Ljava/lang/String;)J,0x1242 soldierRecruitCancle@scriptPages/game/q->S1,0x0242
0x8244,-32188,LscriptPages/game/q;->X1(Ljava/lang/String;)V,0x32ab80,,0000:readByte(Ljava/lang/String;)B || 0022:readLong(Ljava/lang/String;)J || 003c:readLong(Ljava/lang/String;)J || 0048:readLong(Ljava/lang/String;)J,0x1244,0x0244
0x8246,-32186,LscriptPages/game/q;->h1(Ljava/lang/String;)V,0x3281a0,,0000:readByte(Ljava/lang/String;)B || 000c:readLong(Ljava/lang/String;)J,0x1246 reqFiefInfo@scriptPages/game/q->g1,0x0246
0x8248,-32184,LscriptPages/game/q;->P1(Ljava/lang/String;)V,0x32a784,,0000:readInt(Ljava/lang/String;)I || 0008:readUTF(Ljava/lang/String;)Ljava/lang/String;,0x1248 soldierAverageRecuit@scriptPages/game/q->O1,0x0248
0x824a,-32182,Lo/a;->O7(Ljava/lang/String;)V,0x249854,,,0x124a,0x024a
0x824b,-32181,Lo/a;->I6(Ljava/lang/String;)V,0x243150,,0000:readLong(Ljava/lang/String;)J,0x124b,0x024b
0x824c,-32180,LscriptPages/game/z;->M(Ljava/lang/String;)V,0x365c3c,,0000:readByte(Ljava/lang/String;)B || 0008:readUTF(Ljava/lang/String;)Ljava/lang/String; || 0010:readLong(Ljava/lang/String;)J || 0018:readLong(Ljava/lang/String;)J,0x124c generalAddPoint@scriptPages/game/z->U0,0x024c
0x8250,-32176,LscriptPages/game/z;->F0(Ljava/lang/String;)V,0x36976c,,0000:readByte(Ljava/lang/String;)B,0x1250,0x0250
0x8252,-32174,LscriptPages/game/z;->D0(Ljava/lang/String;)V,0x36950c,,0000:readBoolean(Ljava/lang/String;)Z || 0008:readUTF(Ljava/lang/String;)Ljava/lang/String; || 0010:readByte(Ljava/lang/String;)B,0x1252,0x0252
0x8254,-32172,LscriptPages/game/z;->H0(Ljava/lang/String;)V,0x3697e8,,0006:readBoolean(Ljava/lang/String;)Z || 000e:readUTF(Ljava/lang/String;)Ljava/lang/String; || 0016:readByte(Ljava/lang/String;)B,0x1254,0x0254
0x8260,-32160,LscriptPages/game/z;->N0(Ljava/lang/String;)V,0x369c10,,0000:readByte(Ljava/lang/String;)B,0x1260,0x0260
0x8262,-32158,LscriptPages/game/z;->M0(Ljava/lang/String;)V,0x369bb4,,0000:readByte(Ljava/lang/String;)B || 0006:readUTF(Ljava/lang/String;)Ljava/lang/String; || 000e:readByte(Ljava/lang/String;)B,0x1262 re_提示用技能书@scriptPages/game/z->e1,0x0262
0x8270,-32144,LscriptPages/game/z;->J0(Ljava/lang/String;)V,0x369998,,0006:readByte(Ljava/lang/String;)B || 0014:readShort(Ljava/lang/String;)S || 0020:readShort(Ljava/lang/String;)S || 002e:readByte(Ljava/lang/String;)B || 0066:readUTF(Ljava/lang/String;)Ljava/lang/String; || 0072:readShort(Ljava/lang/String;)S || 007e:readShort(Ljava/lang/String;)S || 008a:readByte(Ljava/lang/String;)B || 0096:readShort(Ljava/lang/String;)S || 00a2:readShort(Ljava/lang/String;)S || 00ae:readShort(Ljava/lang/String;)S || 00ba:readShort(Ljava/lang/String;)S || 00c6:readShort(Ljava/lang/String;)S || 00d2:readShort(Ljava/lang/String;)S || 00de:readShort(Ljava/lang/String;)S,0x1270,0x0270
0x8272,-32142,LscriptPages/game/z;->B0(Ljava/lang/String;)V,0x369110,,0006:readByte(Ljava/lang/String;)B || 0048:readUTF(Ljava/lang/String;)Ljava/lang/String; || 0050:readShort(Ljava/lang/String;)S || 0058:readByte(Ljava/lang/String;)B || 005e:readShort(Ljava/lang/String;)S || 0064:readShort(Ljava/lang/String;)S || 006a:readShort(Ljava/lang/String;)S || 0070:readShort(Ljava/lang/String;)S || 0078:readShort(Ljava/lang/String;)S || 0080:readShort(Ljava/lang/String;)S || 0088:readBoolean(Ljava/lang/String;)Z,0x1272 reqFamousSearch@scriptPages/game/z->A0,0x0272
0x8274,-32140,LscriptPages/game/z;->x0(Ljava/lang/String;)V,0x368d28,,0006:readByte(Ljava/lang/String;)B || 000e:readUTF(Ljava/lang/String;)Ljava/lang/String;,0x1274,0x0274
0x8275,-32139,LscriptPages/gameHD/g;->E(Ljava/lang/String;)V,0x433b7c,,0042:readByte(Ljava/lang/String;)B || 004e:readLong(Ljava/lang/String;)J || 007e:readLong(Ljava/lang/String;)J || 00b2:readLong(Ljava/lang/String;)J || 01b6:readByte(Ljava/lang/String;)B || 01c2:readLong(Ljava/lang/String;)J || 0226:readLong(Ljava/lang/String;)J || 028e:readLong(Ljava/lang/String;)J,0x1275 di_将领成长值已满@scriptPages/gameHD/g->p; di_将领成长值已满@scriptPages/gameHD/h->B,0x0275
0x8276,-32138,LscriptPages/game/z;->z0(Ljava/lang/String;)V,0x368f3c,,0006:readByte(Ljava/lang/String;)B || 0030:readUTF(Ljava/lang/String;)Ljava/lang/String; || 0038:readLong(Ljava/lang/String;)J || 0050:readUTF(Ljava/lang/String;)Ljava/lang/String; || 0058:readLong(Ljava/lang/String;)J || 005e:readUTF(Ljava/lang/String;)Ljava/lang/String; || 0066:readByte(Ljava/lang/String;)B || 006e:readShort(Ljava/lang/String;)S || 0076:readShort(Ljava/lang/String;)S || 0092:readUTF(Ljava/lang/String;)Ljava/lang/String; || 009a:readUTF(Ljava/lang/String;)Ljava/lang/String; || 00a2:readByte(Ljava/lang/String;)B || 00ae:readLong(Ljava/lang/String;)J || 00b4:readUTF(Ljava/lang/String;)Ljava/lang/String; || 00bc:readByte(Ljava/lang/String;)B || 00c4:readShort(Ljava/lang/String;)S || 00cc:readShort(Ljava/lang/String;)S || 00ea:readLong(Ljava/lang/String;)J || 00f0:readUTF(Ljava/lang/String;)Ljava/lang/String; || 00f8:readLong(Ljava/lang/String;)J || 00fe:readUTF(Ljava/lang/String;)Ljava/lang/String; || 0106:readByte(Ljava/lang/String;)B || 010e:readShort(Ljava/lang/String;)S || 0116:readShort(Ljava/lang/String;)S || 013a:readLong(Ljava/lang/String;)J || 0140:readUTF(Ljava/lang/String;)Ljava/lang/String; || 0148:readShort(Ljava/lang/String;)S || 0150:readShort(Ljava/lang/String;)S,0x1276 reqFamousDetail@scriptPages/game/z->y0,0x0276
0x8278,-32136,LscriptPages/game/z;->Q0(Ljava/lang/String;)V,0x369cdc,,,0x1278 (unnamed)@scriptPages/game/z->R0,0x0278
0x8280,-32128,Lo/a;->e6(Ljava/lang/String;)V,0x240a00,,0000:readByte(Ljava/lang/String;)B || 005c:readByte(Ljava/lang/String;)B || 0072:readByte(Ljava/lang/String;)B || 0078:readUTF(Ljava/lang/String;)Ljava/lang/String; || 007e:readByte(Ljava/lang/String;)B || 0098:readByte(Ljava/lang/String;)B || 00a6:readLong(Ljava/lang/String;)J,0x1280 ChangeTeamNEW@scriptPages/gameHD/g->q,0x0280
0x8300,-32000,LscriptPages/game/k;->E0(Ljava/lang/String;)V,0x2c9624,0d62:readByte(Ljava/lang/String;)B,0000:readByte(Ljava/lang/String;)B || 000e:readUTF(Ljava/lang/String;)Ljava/lang/String; || 001a:readShort(Ljava/lang/String;)S || 0026:readShort(Ljava/lang/String;)S || 0032:readUTF(Ljava/lang/String;)Ljava/lang/String; || 003e:readInt(Ljava/lang/String;)I || 004a:readInt(Ljava/lang/String;)I || 0066:readByte(Ljava/lang/String;)B || 00be:readLong(Ljava/lang/String;)J || 00ce:readUTF(Ljava/lang/String;)Ljava/lang/String; || 00de:readByte(Ljava/lang/String;)B || 00ee:readUTF(Ljava/lang/String;)Ljava/lang/String; || 00fe:readByte(Ljava/lang/String;)B || 010e:readByte(Ljava/lang/String;)B || 011a:readByte(Ljava/lang/String;)B,0x1300 reqCityFiefList@scriptPages/game/k->D0; reqCityFiefList@scriptPages/game/p->O0,0x0300
0x8301,-31999,LscriptPages/game/k;->p1(Ljava/lang/String;)V,0x2cb714,,,0x1301 di_联网请求数据中@scriptPages/game/k->W,0x0301
0x8302,-31998,LscriptPages/game/k;->J0(Ljava/lang/String;)V,0x2c9adc,,0000:readByte(Ljava/lang/String;)B || 000e:readLong(Ljava/lang/String;)J || 0016:readByte(Ljava/lang/String;)B,0x1302,0x0302
0x8303,-31997,LscriptPages/game/k;->o1(Ljava/lang/String;)V,0x2cb634,,0008:readByte(Ljava/lang/String;)B || 0010:readUTF(Ljava/lang/String;)Ljava/lang/String; || 0020:readInt(Ljava/lang/String;)I || 0036:readInt(Ljava/lang/String;)I || 003e:readInt(Ljava/lang/String;)I || 0046:readInt(Ljava/lang/String;)I,0x1303 di_联网请求数据中@scriptPages/game/k->w1,0x0303
0x8304,-31996,LscriptPages/game/k;->r0(Ljava/lang/String;)V,0x2c8958,,0000:readByte(Ljava/lang/String;)B || 0008:readUTF(Ljava/lang/String;)Ljava/lang/String; || 0010:readByte(Ljava/lang/String;)B || 0016:readInt(Ljava/lang/String;)I || 001c:readInt(Ljava/lang/String;)I || 0022:readLong(Ljava/lang/String;)J || 002e:readLong(Ljava/lang/String;)J || 003a:readLong(Ljava/lang/String;)J || 0046:readLong(Ljava/lang/String;)J || 006a:readInt(Ljava/lang/String;)I || 0076:readInt(Ljava/lang/String;)I || 0088:readInt(Ljava/lang/String;)I || 0094:readInt(Ljava/lang/String;)I || 00a4:readInt(Ljava/lang/String;)I || 00b0:readInt(Ljava/lang/String;)I || 00bc:readInt(Ljava/lang/String;)I || 00c4:readInt(Ljava/lang/String;)I || 00cc:readInt(Ljava/lang/String;)I || 00d4:readInt(Ljava/lang/String;)I || 00dc:readInt(Ljava/lang/String;)I || 00e4:readInt(Ljava/lang/String;)I,0x1304 reqCityGarrisonList@scriptPages/game/k->i1,0x0304
0x8305,-31995,LscriptPages/game/k;->s0(Ljava/lang/String;)V,0x2c8c78,,0000:readByte(Ljava/lang/String;)B || 0010:readLong(Ljava/lang/String;)J || 0018:readInt(Ljava/lang/String;)I,0x1305,0x0305
0x8306,-31994,LscriptPages/game/k;->q0(Ljava/lang/String;)V,0x2c87dc,,005a:readByte(Ljava/lang/String;)B || 0066:readInt(Ljava/lang/String;)I || 0076:readLong(Ljava/lang/String;)J || 008a:readShort(Ljava/lang/String;)S || 00a0:readShort(Ljava/lang/String;)S || 00ae:readShort(Ljava/lang/String;)S || 00f4:readInt(Ljava/lang/String;)I || 0108:readLong(Ljava/lang/String;)J || 011c:readUTF(Ljava/lang/String;)Ljava/lang/String; || 0130:readLong(Ljava/lang/String;)J,0x1306,0x0306
0x8308,-31992,LscriptPages/game/k;->h1(Ljava/lang/String;)V,0x2cb218,,0000:readByte(Ljava/lang/String;)B || 0012:readLong(Ljava/lang/String;)J || 001a:readUTF(Ljava/lang/String;)Ljava/lang/String;,0x1308 reqModifyNotice@scriptPages/game/k->g1,0x0308
0x830b,-31989,LscriptPages/game/k;->a(Ljava/lang/String;)V,0x2bc09c,,0000:readByte(Ljava/lang/String;)B || 0012:readBoolean(Ljava/lang/String;)Z,0x130b reqApplyFief@scriptPages/game/k->r1,0x030b
0x830d,-31987,LscriptPages/game/k;->Y0(Ljava/lang/String;)V,0x2caae0,,0000:readByte(Ljava/lang/String;)B || 0018:readInt(Ljava/lang/String;)I || 0024:readInt(Ljava/lang/String;)I || 0030:readByte(Ljava/lang/String;)B || 0102:readByte(Ljava/lang/String;)B || 0112:readLong(Ljava/lang/String;)J || 0122:readUTF(Ljava/lang/String;)Ljava/lang/String; || 0132:readByte(Ljava/lang/String;)B || 0142:readShort(Ljava/lang/String;)S || 0152:readByte(Ljava/lang/String;)B || 0162:readByte(Ljava/lang/String;)B || 0172:readUTF(Ljava/lang/String;)Ljava/lang/String; || 0182:readUTF(Ljava/lang/String;)Ljava/lang/String; || 0192:readLong(Ljava/lang/String;)J || 01a2:readInt(Ljava/lang/String;)I || 01b2:readUTF(Ljava/lang/String;)Ljava/lang/String; || 01c2:readUTF(Ljava/lang/String;)Ljava/lang/String; || 01d2:readByte(Ljava/lang/String;)B || 01e2:readLong(Ljava/lang/String;)J || 01f2:readLong(Ljava/lang/String;)J || 0202:readShort(Ljava/lang/String;)S || 0212:readByte(Ljava/lang/String;)B || 0222:readByte(Ljava/lang/String;)B || 0232:readByte(Ljava/lang/String;)B || 0242:readShort(Ljava/lang/String;)S || 0252:readShort(Ljava/lang/String;)S || 0262:readLong(Ljava/lang/String;)J || 0272:readInt(Ljava/lang/String;)I,0x130d,0x030d
0x830f,-31985,LscriptPages/game/w;->b0(Ljava/lang/String;)V,0x34994c,,0000:readByte(Ljava/lang/String;)B || 000c:readByte(Ljava/lang/String;)B || 0022:readByte(Ljava/lang/String;)B || 002e:readByte(Ljava/lang/String;)B || 003a:readByte(Ljava/lang/String;)B || 0046:readByte(Ljava/lang/String;)B || 0122:readLong(Ljava/lang/String;)J || 0132:readByte(Ljava/lang/String;)B || 0142:readUTF(Ljava/lang/String;)Ljava/lang/String; || 0152:readShort(Ljava/lang/String;)S || 0162:readShort(Ljava/lang/String;)S || 0172:readByte(Ljava/lang/String;)B || 0182:readByte(Ljava/lang/String;)B || 0192:readByte(Ljava/lang/String;)B || 01a2:readInt(Ljava/lang/String;)I || 01b2:readInt(Ljava/lang/String;)I || 01c2:readInt(Ljava/lang/String;)I || 01d2:readInt(Ljava/lang/String;)I || 01e2:readInt(Ljava/lang/String;)I || 01f2:readInt(Ljava/lang/String;)I || 0202:readInt(Ljava/lang/String;)I || 0212:readInt(Ljava/lang/String;)I || 021e:readInt(Ljava/lang/String;)I || 0232:readShort(Ljava/lang/String;)S || 0242:readShort(Ljava/lang/String;)S || 0252:readUTF(Ljava/lang/String;)Ljava/lang/String; || 0262:readByte(Ljava/lang/String;)B || 0272:readUTF(Ljava/lang/String;)Ljava/lang/String; || 0282:readUTF(Ljava/lang/String;)Ljava/lang/String; || 0292:readShort(Ljava/lang/String;)S || 02a2:readLong(Ljava/lang/String;)J,0x130f,0x030f
0x8310,-31984,LscriptPages/game/w;->c0(Ljava/lang/String;)V,0x349dc0,0de8:readByte(Ljava/lang/String;)B,0000:readByte(Ljava/lang/String;)B || 000c:readUTF(Ljava/lang/String;)Ljava/lang/String; || 0018:readUTF(Ljava/lang/String;)Ljava/lang/String; || 0024:readByte(Ljava/lang/String;)B || 0070:readLong(Ljava/lang/String;)J || 0080:readUTF(Ljava/lang/String;)Ljava/lang/String; || 0090:readByte(Ljava/lang/String;)B || 00a0:readUTF(Ljava/lang/String;)Ljava/lang/String; || 00b0:readByte(Ljava/lang/String;)B || 00c0:readShort(Ljava/lang/String;)S || 00d0:readShort(Ljava/lang/String;)S,0x1310 reqRoleFiefList@scriptPages/game/p->g0; di_联网城池列表@scriptPages/game/w->q0,0x0310
0x8312,-31982,LscriptPages/game/k;->G0(Ljava/lang/String;)V,0x2c9964,,0000:readByte(Ljava/lang/String;)B,0x1312 reqCityForceExpel@scriptPages/game/k->F0,0x0312
0x8314,-31980,LscriptPages/game/k;->H0(Ljava/lang/String;)V,0x2c9a08,,0000:readByte(Ljava/lang/String;)B,0x1314,0x0314
0x8316,-31978,LscriptPages/game/k;->K0(Ljava/lang/String;)V,0x2c9b3c,,0000:readByte(Ljava/lang/String;)B || 0018:readByte(Ljava/lang/String;)B || 0026:readLong(Ljava/lang/String;)J || 003a:readByte(Ljava/lang/String;)B,0x1316,0x0316
0x8318,-31976,LscriptPages/game/k;->M0(Ljava/lang/String;)V,0x2c9c0c,,0010:readByte(Ljava/lang/String;)B || 004c:readByte(Ljava/lang/String;)B || 005c:readLong(Ljava/lang/String;)J || 0076:readByte(Ljava/lang/String;)B || 0086:readUTF(Ljava/lang/String;)Ljava/lang/String; || 0096:readShort(Ljava/lang/String;)S || 00a6:readShort(Ljava/lang/String;)S || 00b6:readByte(Ljava/lang/String;)B || 00c6:readByte(Ljava/lang/String;)B || 00d6:readShort(Ljava/lang/String;)S || 00e6:readInt(Ljava/lang/String;)I || 00f6:readInt(Ljava/lang/String;)I || 0102:readInt(Ljava/lang/String;)I || 0116:readShort(Ljava/lang/String;)S || 0126:readShort(Ljava/lang/String;)S || 0136:readUTF(Ljava/lang/String;)Ljava/lang/String; || 0166:readByte(Ljava/lang/String;)B || 0176:readUTF(Ljava/lang/String;)Ljava/lang/String; || 018a:readInt(Ljava/lang/String;)I || 0196:readInt(Ljava/lang/String;)I || 01ae:readInt(Ljava/lang/String;)I || 01ba:readInt(Ljava/lang/String;)I || 01d2:readInt(Ljava/lang/String;)I || 01de:readInt(Ljava/lang/String;)I || 01f2:readShort(Ljava/lang/String;)S || 0202:readLong(Ljava/lang/String;)J || 0530:readLong(Ljava/lang/String;)J || 053c:readByte(Ljava/lang/String;)B || 0548:readUTF(Ljava/lang/String;)Ljava/lang/String; || 0554:readShort(Ljava/lang/String;)S || 0560:readShort(Ljava/lang/String;)S || 056c:readByte(Ljava/lang/String;)B || 0578:readByte(Ljava/lang/String;)B || 0584:readByte(Ljava/lang/String;)B || 0590:readInt(Ljava/lang/String;)I || 059c:readInt(Ljava/lang/String;)I || 05a8:readInt(Ljava/lang/String;)I || 05b4:readInt(Ljava/lang/String;)I || 05c0:readInt(Ljava/lang/String;)I || 05cc:readInt(Ljava/lang/String;)I || 05d8:readInt(Ljava/lang/String;)I || 05e4:readInt(Ljava/lang/String;)I || 05f0:readInt(Ljava/lang/String;)I || 05fc:readShort(Ljava/lang/String;)S || 0608:readShort(Ljava/lang/String;)S || 0614:readUTF(Ljava/lang/String;)Ljava/lang/String; || 0620:readByte(Ljava/lang/String;)B || 062c:readUTF(Ljava/lang/String;)Ljava/lang/String; || 0638:readUTF(Ljava/lang/String;)Ljava/lang/String; || 0644:readShort(Ljava/lang/String;)S || 0650:readLong(Ljava/lang/String;)J,0x1318,0x0318
0x831b,-31973,LscriptPages/game/k;->x0(Ljava/lang/String;)V,0x2c8e2c,,0000:readByte(Ljava/lang/String;)B || 000c:readByte(Ljava/lang/String;)B || 00aa:readLong(Ljava/lang/String;)J || 00b6:readByte(Ljava/lang/String;)B || 00c2:readUTF(Ljava/lang/String;)Ljava/lang/String; || 00ce:readShort(Ljava/lang/String;)S || 00da:readShort(Ljava/lang/String;)S || 00e6:readByte(Ljava/lang/String;)B || 00f2:readByte(Ljava/lang/String;)B || 00fe:readByte(Ljava/lang/String;)B || 010a:readInt(Ljava/lang/String;)I || 0116:readInt(Ljava/lang/String;)I || 0122:readInt(Ljava/lang/String;)I || 012e:readInt(Ljava/lang/String;)I || 013a:readInt(Ljava/lang/String;)I || 0146:readInt(Ljava/lang/String;)I || 0152:readInt(Ljava/lang/String;)I || 015e:readInt(Ljava/lang/String;)I || 016a:readInt(Ljava/lang/String;)I || 0176:readShort(Ljava/lang/String;)S || 0182:readShort(Ljava/lang/String;)S || 018e:readUTF(Ljava/lang/String;)Ljava/lang/String; || 019a:readByte(Ljava/lang/String;)B || 01a6:readUTF(Ljava/lang/String;)Ljava/lang/String; || 01b2:readUTF(Ljava/lang/String;)Ljava/lang/String; || 01be:readShort(Ljava/lang/String;)S || 01ca:readLong(Ljava/lang/String;)J,0x131b reqCityConnectCities@scriptPages/game/k->w0,0x031b
